样本数量,k值,指标类型,claude-3-7-sonnet-20250219,deepseek-v3,gemini-2.0-flash,gpt-4o,qwen-plus-latest
100,3,精确率,0.5066666666666666,0.5099999999999999,0.41333333333333333,0.45000000000000007,0.44333333333333336
100,3,召回率,0.21065942545586508,0.2035176921891318,0.16873216665515428,0.19125328687480392,0.1755868134273707
100,3,F1分数,0.2975888095240407,0.2909360879279909,0.23963842174294767,0.26842428991857814,0.2515461411089962
100,3,成功率,0.83,0.8,0.69,0.77,0.77
100,4,精确率,0.465,0.4475,0.3625,0.39,0.4075
100,4,召回率,0.25181827374551835,0.22801778785370114,0.19357375970262963,0.21196153184620678,0.20990255586346915
100,4,F1分数,0.32670901839546784,0.30210295538991766,0.25237834610188464,0.27465209335383395,0.277081106004617
100,4,成功率,0.87,0.83,0.73,0.78,0.81
100,5,精确率,0.42599999999999993,0.406,0.318,0.3600000000000001,0.382
100,5,召回率,0.27435914747447254,0.2544127472544655,0.20577175469009834,0.23812592709148436,0.23924467104962457
100,5,F1分数,0.3337630335681033,0.31280915098846035,0.2498623394847538,0.2866464397214553,0.29422051761521284
100,5,成功率,0.89,0.85,0.76,0.79,0.82
1000,3,精确率,0.513,0.5186666666666666,0.409,0.4486666666666666,0.48
1000,3,召回率,0.23209036902210273,0.22714266671580913,0.1829270402627988,0.20648644846295774,0.21516971849529898
1000,3,F1分数,0.3195917280868968,0.31592881593196354,0.2527918286492471,0.28281506842987025,0.2971402871267096
1000,3,成功率,0.858,0.848,0.691,0.784,0.811
1000,4,精确率,0.46175,0.4605833333333333,0.3625,0.39425,0.43325
1000,4,召回率,0.27015556916423794,0.25945287277222256,0.20830342860613757,0.23358923961315603,0.25057206482458033
1000,4,F1分数,0.3408754880879845,0.3319268335982013,0.2645744194428371,0.2933634978732126,0.31751051236727273
1000,4,成功率,0.886,0.872,0.723,0.811,0.843
1000,5,精确率,0.42425000000000007,0.4171333333333333,0.32675,0.35420000000000007,0.392
1000,5,召回率,0.3028400912855634,0.28875243242739373,0.23054839018910225,0.2565946554477514,0.27550900063129163
1000,5,F1分数,0.35340849852797684,0.34126843319114325,0.27034596840923103,0.2975986320409711,0.32358972881362374
1000,5,成功率,0.9,0.887,0.744,0.828,0.862
3000,3,精确率,0.507,0.507888888888889,0.3947777777777777,0.4427777777777778,0.46922222222222215
3000,3,召回率,0.24152861625818284,0.23667171039887758,0.18699540948244506,0.21161002075123592,0.22010854543060426
3000,3,F1分数,0.3271885824620537,0.3228828711616028,0.25378148676042506,0.28636296383997284,0.2996524329494742
3000,3,成功率,0.8486666666666667,0.8406666666666667,0.684,0.7786666666666666,0.8056666666666666
3000,4,精确率,0.45275,0.45186111111111116,0.3545,0.39158333333333334,0.4205
3000,4,召回率,0.27962677230606797,0.2714538484348469,0.2161648231054578,0.24255273715362724,0.25487437400633994
3000,4,F1分数,0.34572647836150755,0.3391591337918777,0.26856545799993575,0.2995559273289887,0.3173785633408112
3000,4,成功率,0.8776666666666667,0.8683333333333333,0.709,0.811,0.8386666666666667
3000,5,精确率,0.41341666666666665,0.4093277777777778,0.3217166666666667,0.3509666666666667,0.3798666666666667
3000,5,召回率,0.3112264818357311,0.3007486539833289,0.23890563146433888,0.26416889792354187,0.2807313068496118
3000,5,F1分数,0.3551160732419347,0.3467366967787782,0.274195028127981,0.3014440486886725,0.32286040840938596
3000,5,成功率,0.8926666666666667,0.8806666666666667,0.725,0.8253333333333334,0.8603333333333333
